instrument,sell_date,sell_price,sold_quantity_total,realized_profit_loss,cost_basis_for_sale,holding_period_days
AAL,2019-09-05,28.03,10.0,26.570000000000007,253.73000000000002,22
AAL,2019-10-08,26.14,3.0,3.0600000000000023,75.36,6
AAL,2019-10-08,26.26,2.0,2.520000000000003,50.0,5
AAL,2020-03-10,17.05,7.0,-6.090000000000007,125.44000000000001,6
AAL,2020-03-12,14.27,30.0,-87.01000000000003,515.11,8
AAL,2020-04-07,11.05,20.0,30.80000000000002,190.2,1
AAL,2020-04-23,10.41,10.0,1.3000000000000078,102.8,1
AAL,2020-05-27,12.26,20.0,21.20000000000001,224.0,26
AAL,2020-06-04,14.92,5.0,26.7,47.9,31
AAL,2020-06-05,20.81,5.0,56.14999999999999,47.9,32
AAL,2020-06-10,16.27,5.0,34.5,46.849999999999994,37
AAL,2020-06-10,17.28,5.0,39.55000000000001,46.849999999999994,37
AAL,2020-06-12,16.3,5.0,34.650000000000006,46.849999999999994,39
AAL,2020-06-15,15.62,5.0,31.25,46.849999999999994,42
AAL,2020-06-17,16.69,30.0,202.10000000000002,298.59999999999997,42
AAL,2020-08-10,14.12,2.0,3.979999999999997,24.26,34
AAL,2020-08-11,14.75,1.0,2.619999999999999,12.13,35
AAL,2020-08-24,13.42,1.0,1.2899999999999991,12.13,48
AAL,2020-09-17,13.42,1.0,1.2899999999999991,12.13,72
AAL,2020-11-09,13.99,1.0,1.8599999999999994,12.13,125
AAL,2020-11-24,14.94,1.0,2.8099999999999987,12.13,140
AAL,2020-12-03,15.6,1.0,3.469999999999999,12.13,149
AAL,2020-12-07,17.84,2.0,11.419999999999998,24.26,153
AAL,2020-12-09,18.47,1.0,6.339999999999998,12.13,155
AAL,2020-12-11,17.05,2.0,9.84,24.26,157
AAL,2020-12-14,16.98,1.0,4.85,12.13,160
AAL,2020-12-14,17.04,1.0,4.909999999999998,12.13,160
AAL,2021-01-19,16.14,1.0,4.01,12.13,196
AAL,2021-01-27,17.35,1.0,5.220000000000001,12.13,204
AAL,2021-01-28,18.15,17.0,110.39999999999996,198.15000000000003,205
AAL,2021-01-28,18.91,1.0,7.57,11.34,203
AAL,2021-01-28,19.64,1.0,8.3,11.34,203
AAL,2021-01-28,20.82,1.0,9.48,11.34,203
AAL,2021-02-03,17.64,1.0,6.300000000000001,11.34,209
AAL,2021-02-08,17.91,5.0,32.85,56.7,214
AAL,2021-02-19,18.47,1.0,7.129999999999999,11.34,225
AAL,2021-02-22,20.41,1.0,9.07,11.34,228
AAL,2021-02-22,20.27,2.0,17.759999999999998,22.78,223
AAL,2021-02-22,19.73,5.0,41.7,56.95,223
AAL,2021-02-24,21.33,1.0,9.939999999999998,11.39,225
AAL,2021-02-25,20.98,5.0,44.32,60.58,226
AAL,2021-02-25,20.94,3.0,26.500000000000007,36.32,224
AAL,2021-02-26,21.01,20.0,156.49000000000004,263.71,218
AAL,2023-01-05,13.8,1.0,1.3800000000000008,12.42,7
AAL,2023-01-10,15.19,3.0,8.309999999999999,37.26,12
AAL,2023-01-10,14.71,3.0,6.870000000000003,37.26,12
AAL,2023-01-12,16.22,5.0,18.999999999999993,62.1,14
AAL,2023-01-13,16.89,12.0,53.64000000000001,149.04,15
AAPL,2019-06-05,182.89,1.0,10.019999999999982,172.87,2
AB,2024-10-15,36.38,1.0,2.6600000000000037,33.72,153
AB,2024-10-15,36.28,0.182623,0.4675148800000004,6.15804756,153
AB,2025-05-14,39.88,0.522854,3.2207806400000023,17.63063688,364
ABBV,2020-10-27,83.64,1.0,-0.1599999999999966,83.8,1
ABNB,2021-08-05,150.01,1.0,12.299999999999983,137.71,78
ABNB,2021-08-24,161.41,1.0,27.349999999999994,134.06,91
ABNB,2021-09-10,165.33,1.0,28.910000000000025,136.42,56
ABNB,2022-07-29,111.0,1.0,-10.069999999999993,121.07,77
ABNB,2022-08-02,116.0,1.0,4.680000000000007,111.32,76
ABNB,2022-10-20,117.2,1.0,13.8506,103.3494,149
ABNB,2023-01-03,86.69,7.0,-38.842600000000026,645.6726,201
ACB,2021-01-15,12.6,5.0,11.539999999999996,51.46,8
ACB,2021-01-28,11.77,1.0,1.3899999999999988,10.38,21
ACB,2021-01-29,12.11,1.0,1.7299999999999986,10.38,22
ACB,2021-02-02,12.75,3.0,8.79,29.46,25
ACB,2021-02-03,13.8,1.0,3.860000000000001,9.94,26
ACB,2021-02-08,14.66,2.0,9.440000000000001,19.88,31
ACB,2021-02-08,13.36,1.0,2.799999999999999,10.56,27
ACB,2021-02-09,15.83,1.0,5.26,10.57,27
ACB,2021-02-10,18.02,1.0,6.74,11.28,22
ACB,2021-04-28,8.93,1.0,-2.6400000000000006,11.57,99
ACB,2021-05-07,9.12,1.0,-1.7300000000000004,10.85,106
ACB,2021-05-25,7.86,1.0,-2.6100000000000003,10.47,123
ACB,2021-05-26,8.61,1.0,-1.5300000000000011,10.14,121
ACB,2021-05-28,9.5,2.0,-9.42,28.42,116
ACB,2021-06-02,10.04,1.0,-5.220000000000001,15.26,111
ACB,2021-06-07,9.62,1.0,-1.540000000000001,11.16,103
ACB,2021-06-09,10.63,1.0,0.9600000000000009,9.67,97
ACB,2021-09-13,6.6,36.0,-64.03,301.63000000000005,193
ADSK,2022-05-27,208.68,0.136,2.8301600000000007,25.550320000000003,35
ADSK,2022-07-20,192.32,1.0,5.261059999999988,187.05894,89
ADSK,2022-07-29,216.66,1.0,39.42,177.23999999999998,78
ADSK,2022-08-12,230.27,1.0,59.920000000000016,170.35,57
AEP,2024-04-26,85.72,0.031273,0.054727750000000006,2.62599381,308
AEP,2024-07-17,94.12,0.099795,1.0129192500000006,8.37978615,390
AEP,2024-08-30,100.87,1.0,17.12674764000001,83.74325236,434
AEP,2024-09-06,101.5,1.0,19.564077760000004,81.93592224,400
AEP,2025-03-10,108.26,1.0,28.340000000000003,79.92,580
AGN,2019-05-29,125.22,1.0,-7.030000000000001,132.25,111
AGN,2019-06-19,124.44,1.0,-12.810000000000002,137.25,114
AGN,2019-06-20,131.56,1.0,6.040000000000006,125.52,15
AGN,2019-06-25,164.74,1.0,41.360000000000014,123.38,14
AGN,2019-06-27,166.3,1.0,42.920000000000016,123.38,16
AGN,2019-06-28,167.35,1.0,50.97,116.38,14
AI,2021-01-07,135.37,1.0,14.91000000000001,120.46,3
AI,2021-01-08,141.8,1.0,20.10000000000001,121.7,4
AI,2021-01-13,142.0,1.0,28.629999999999995,113.37,7
AI,2021-01-25,140.2,1.0,23.75999999999999,116.44,19
AI,2021-01-27,154.0,1.0,24.25,129.75,15
AI,2021-02-04,156.75,1.0,27.439999999999998,129.31,16
AI,2021-02-09,160.0,1.0,36.08,123.92,18
AI,2021-04-01,69.13,1.0,-44.95,114.08,37
AI,2021-04-14,70.42,1.0,-41.31999999999999,111.74,47
AI,2021-04-14,69.69,1.0,-39.81,109.5,44
AI,2021-04-23,69.06,1.0,-29.239999999999995,98.3,52
AI,2021-04-28,72.46,1.0,-27.460000000000008,99.92,57
AI,2021-05-21,61.0,1.0,-41.08,102.08,80
AI,2021-05-28,65.0,1.0,-41.0,106.0,87
AI,2021-06-01,69.0,1.0,-23.120000000000005,92.12,90
