instrument,total_pl,num_trades,avg_holding_period
AAL,1058.17,48,108.58333333333333
AAPL,10.019999999999982,1,2.0
AB,6.348295520000006,3,223.33333333333334
ABBV,-0.1599999999999966,1,1.0
ABNB,38.17799999999999,7,104.0
ACB,-36.21000000000001,18,71.0
ADSK,107.43122000000001,4,64.75
AEP,66.09847240000002,5,422.4
AGN,121.45000000000003,6,47.333333333333336
AI,-788.16,20,72.55
AIVI,9.109999999999996,1,21.0
ALB,-34.94719999999999,2,54.5
AM,186.87265371,23,989.6086956521739
AMC,-446.22999999999996,35,42.542857142857144
AMT,15.589566939999983,2,26.5
AMZA,-71.44999999999996,4,72.5
AOMR,-160.02386709000004,1,303.0
APAM,165.31778951000007,24,643.9583333333334
APHA,121.11999999999999,12,13.583333333333334
APRN,361.22999999999996,55,102.8
ARKK,-592.1454999999999,2,108.5
ASPN,-4.33,3,49.0
AVAV,16.050000000000004,11,14.636363636363637
AXON,0.5300000000000011,1,15.0
BA,516.3,11,143.54545454545453
BABA,-724.6776999999998,14,52.57142857142857
BBY,191.43877822000002,8,187.75
BDX,12.659659760000004,2,44.0
BGIG,4.156392609999991,2,62.0
BILI,0.7600000000000051,4,23.25
BJK,-8.160000000000018,1,148.0
BKH,21.59357354,2,69.5
BL,137.13000000000002,10,145.9
BLDE,-182.76260000000005,2,36.5
BLNK,-403.70573760999997,7,96.57142857142857
BMWYY,-9.370000000000033,9,56.44444444444444
BND,-13.807678030000059,3,41.333333333333336
BOTZ,11.740000000000009,2,145.5
BOX,9.400000000000013,5,27.4
BP,97.38000000000001,3,96.66666666666667
BPMX,22.500000000000007,4,38.25
BRLT,-289.57943823000005,7,177.42857142857142
BROS,-1.7999999999999972,1,3.0
BUG,-3.7399999999999984,1,136.0
BYND,-52.5,2,3.0
CAG,11.999999999999979,2,3.5
CAMP,99.52039999999998,9,39.111111111111114
CAPL,2.758354859999999,2,212.0
CAVA,49.43000000000001,4,35.75
CCIV,7.969999999999999,1,5.0
CCL,10.779999999999994,4,23.5
CELZ,41.60999999999999,2,27.0
CGC,27.900000000000016,11,14.818181818181818
CHGG,26.070000000000025,2,2.5
CHL,0.5200000000000031,1,4.0
CHPT,418.5993,42,72.73809523809524
CHWY,8.13450000000006,33,33.484848484848484
CIM,-1245.7039085,16,573.1875
CLII,-72.17,14,90.64285714285714
CME,281.2181385099999,16,337.625
CNK,245.62,13,68.38461538461539
CNTTQ,8.700000000000001,1,6.0
COIN,356.1,23,38.43478260869565
COOK,-170.261,1,62.0
COUR,13.26,2,66.0
CRON,13.149999999999995,5,17.6
CRSR,3.073599999999985,11,41.63636363636363
CRWD,148.88,7,43.714285714285715
CRWV,27.807499999999997,5,24.4
CS,3.9799999999999898,1,74.0
CVNA,-527.9900000000001,19,20.105263157894736
CVX,207.19514436,13,68.3076923076923
D,-104.34681934999996,1,121.0
DD,15.459999999999958,11,8.727272727272727
DDD,8.170000000000027,1,24.0
DDOG,200.77999999999997,13,58.23076923076923
DIS,230.40549819999995,20,359.25
DKNG,173.9820199999998,44,88.45454545454545
DMAC,-78.9491,1,70.0
DNLI,-474.15921000000003,4,116.5
DOMO,13.329999999999998,5,21.0
DSGN,90.12,7,59.0
DVN,-1.1800000000000068,1,2.0
DXC,116.67999999999995,1,70.0
EA,23.092101409999987,3,69.66666666666667
EDIT,13.159999999999997,2,10.0
EDR,278.18633317,23,392.17391304347825
EGIO,-21.46000000000005,5,41.0
EIX,131.29593782999993,6,182.16666666666666
ENB,-11.585428759999992,9,748.4444444444445
